country,hour,tech,gen_mw
HU,2022-01-06T03:00:00Z,Solar,0
HU,2022-01-06T03:00:00Z,Wind onshore,92.3625
HU,2022-01-06T04:00:00Z,Solar,0
HU,2022-01-06T04:00:00Z,Wind onshore,99.2075
HU,2022-01-06T05:00:00Z,Solar,0
HU,2022-01-06T05:00:00Z,Wind onshore,110.0675
HU,2022-01-06T06:00:00Z,Solar,3.595
HU,2022-01-06T06:00:00Z,Wind onshore,96.1725
HU,2022-01-06T07:00:00Z,Solar,71.21000000000001
HU,2022-01-06T07:00:00Z,Wind onshore,83.36250000000001
HU,2022-01-06T08:00:00Z,Solar,217.4925
HU,2022-01-06T08:00:00Z,Wind onshore,96.12
HU,2022-01-06T09:00:00Z,Solar,325.355
HU,2022-01-06T09:00:00Z,Wind onshore,123.77
HU,2022-01-06T10:00:00Z,Solar,359.0375
HU,2022-01-06T10:00:00Z,Wind onshore,195.48
HU,2022-01-06T11:00:00Z,Solar,354.2325
HU,2022-01-06T11:00:00Z,Wind onshore,209.1975
HU,2022-01-06T12:00:00Z,Solar,275.8425
HU,2022-01-06T12:00:00Z,Wind onshore,202.775
HU,2022-01-06T13:00:00Z,Solar,168.72
HU,2022-01-06T13:00:00Z,Wind onshore,180.655
HU,2022-01-06T14:00:00Z,Solar,46.9975
HU,2022-01-06T14:00:00Z,Wind onshore,262.245
HU,2022-01-06T15:00:00Z,Solar,0.9325
HU,2022-01-06T15:00:00Z,Wind onshore,220.4525
HU,2022-01-06T16:00:00Z,Solar,0
HU,2022-01-06T16:00:00Z,Wind onshore,198.1075
HU,2022-01-06T17:00:00Z,Solar,0
HU,2022-01-06T17:00:00Z,Wind onshore,185.2925
HU,2022-01-06T18:00:00Z,Solar,0
HU,2022-01-06T18:00:00Z,Wind onshore,163.2925
HU,2022-01-06T19:00:00Z,Solar,0
HU,2022-01-06T19:00:00Z,Wind onshore,165.2375
HU,2022-01-06T20:00:00Z,Solar,0
HU,2022-01-06T20:00:00Z,Wind onshore,99.6025
HU,2022-01-06T21:00:00Z,Solar,0
HU,2022-01-06T21:00:00Z,Wind onshore,100.8375
HU,2022-01-06T22:00:00Z,Solar,0
HU,2022-01-06T22:00:00Z,Wind onshore,136.68
HU,2022-01-06T23:00:00Z,Solar,0
HU,2022-01-06T23:00:00Z,Wind onshore,129.7725
HU,2022-01-07T00:00:00Z,Solar,0
HU,2022-01-07T00:00:00Z,Wind onshore,106.36
HU,2022-01-07T01:00:00Z,Solar,0
HU,2022-01-07T01:00:00Z,Wind onshore,49.9975
HU,2022-01-07T02:00:00Z,Solar,0
HU,2022-01-07T02:00:00Z,Wind onshore,8.3625
HU,2022-01-07T03:00:00Z,Solar,0
HU,2022-01-07T03:00:00Z,Wind onshore,4.905
HU,2022-01-07T04:00:00Z,Solar,0
HU,2022-01-07T04:00:00Z,Wind onshore,2.11
HU,2022-01-07T05:00:00Z,Solar,0
HU,2022-01-07T05:00:00Z,Wind onshore,0.245
HU,2022-01-07T06:00:00Z,Solar,17.05
HU,2022-01-07T06:00:00Z,Wind onshore,0.1225
HU,2022-01-07T07:00:00Z,Solar,284.9175
HU,2022-01-07T07:00:00Z,Wind onshore,0.0725
HU,2022-01-07T08:00:00Z,Solar,726.3075
HU,2022-01-07T08:00:00Z,Wind onshore,1.2175
HU,2022-01-07T09:00:00Z,Solar,1092.8025
HU,2022-01-07T09:00:00Z,Wind onshore,4.0125
HU,2022-01-07T10:00:00Z,Solar,1228.5925
HU,2022-01-07T10:00:00Z,Wind onshore,8.0475
HU,2022-01-07T11:00:00Z,Solar,1192.5125
HU,2022-01-07T11:00:00Z,Wind onshore,11.905
HU,2022-01-07T12:00:00Z,Solar,966.38
HU,2022-01-07T12:00:00Z,Wind onshore,18.4825
HU,2022-01-07T13:00:00Z,Solar,548.7925
HU,2022-01-07T13:00:00Z,Wind onshore,19.01
HU,2022-01-07T14:00:00Z,Solar,143.0625
HU,2022-01-07T14:00:00Z,Wind onshore,15.7225
HU,2022-01-07T15:00:00Z,Solar,2.285
HU,2022-01-07T15:00:00Z,Wind onshore,25.3475
HU,2022-01-07T16:00:00Z,Solar,0.0025
HU,2022-01-07T16:00:00Z,Wind onshore,60.295
HU,2022-01-07T17:00:00Z,Solar,0
HU,2022-01-07T17:00:00Z,Wind onshore,60.19
HU,2022-01-07T18:00:00Z,Solar,0
HU,2022-01-07T18:00:00Z,Wind onshore,50.94
HU,2022-01-07T19:00:00Z,Solar,0
HU,2022-01-07T19:00:00Z,Wind onshore,59.0225
HU,2022-01-07T20:00:00Z,Solar,0
HU,2022-01-07T20:00:00Z,Wind onshore,69.49249999999999
HU,2022-01-07T21:00:00Z,Solar,0
HU,2022-01-07T21:00:00Z,Wind onshore,72.4425
HU,2022-01-07T22:00:00Z,Solar,0
HU,2022-01-07T22:00:00Z,Wind onshore,64.08500000000001
HU,2022-01-07T23:00:00Z,Solar,0
HU,2022-01-07T23:00:00Z,Wind onshore,52.56
HU,2022-01-08T00:00:00Z,Solar,0
HU,2022-01-08T00:00:00Z,Wind onshore,39.545
HU,2022-01-08T01:00:00Z,Solar,0
HU,2022-01-08T01:00:00Z,Wind onshore,35.705
HU,2022-01-08T02:00:00Z,Solar,0
HU,2022-01-08T02:00:00Z,Wind onshore,28.7475
HU,2022-01-08T03:00:00Z,Solar,0
HU,2022-01-08T03:00:00Z,Wind onshore,38.36
HU,2022-01-08T04:00:00Z,Solar,0
HU,2022-01-08T04:00:00Z,Wind onshore,43.465
HU,2022-01-08T05:00:00Z,Solar,0
HU,2022-01-08T05:00:00Z,Wind onshore,41.89
HU,2022-01-08T06:00:00Z,Solar,3.0700000000000003
HU,2022-01-08T06:00:00Z,Wind onshore,41.2
HU,2022-01-08T07:00:00Z,Solar,77.64
HU,2022-01-08T07:00:00Z,Wind onshore,42.57
HU,2022-01-08T08:00:00Z,Solar,221.6825
HU,2022-01-08T08:00:00Z,Wind onshore,27.36
HU,2022-01-08T09:00:00Z,Solar,360.83
HU,2022-01-08T09:00:00Z,Wind onshore,10.645
HU,2022-01-08T10:00:00Z,Solar,367.72
HU,2022-01-08T10:00:00Z,Wind onshore,6.3375
HU,2022-01-08T11:00:00Z,Solar,297.1375
HU,2022-01-08T11:00:00Z,Wind onshore,8.61
HU,2022-01-08T12:00:00Z,Solar,251.005
HU,2022-01-08T12:00:00Z,Wind onshore,11.78
HU,2022-01-08T13:00:00Z,Solar,175.385
HU,2022-01-08T13:00:00Z,Wind onshore,7.03
HU,2022-01-08T14:00:00Z,Solar,60.3175
HU,2022-01-08T14:00:00Z,Wind onshore,3.715
HU,2022-01-08T15:00:00Z,Solar,2.5250000000000004
HU,2022-01-08T15:00:00Z,Wind onshore,2.2475
HU,2022-01-08T16:00:00Z,Solar,0.0025
HU,2022-01-08T16:00:00Z,Wind onshore,6.165
HU,2022-01-08T17:00:00Z,Solar,0
HU,2022-01-08T17:00:00Z,Wind onshore,13.575
HU,2022-01-08T18:00:00Z,Solar,0
HU,2022-01-08T18:00:00Z,Wind onshore,29.605
HU,2022-01-08T19:00:00Z,Solar,0
HU,2022-01-08T19:00:00Z,Wind onshore,57.4225
HU,2022-01-08T20:00:00Z,Solar,0
HU,2022-01-08T20:00:00Z,Wind onshore,67.675
HU,2022-01-08T21:00:00Z,Solar,0
HU,2022-01-08T21:00:00Z,Wind onshore,60.59
HU,2022-01-08T22:00:00Z,Solar,0
HU,2022-01-08T22:00:00Z,Wind onshore,48.8325
HU,2022-01-08T23:00:00Z,Solar,0
HU,2022-01-08T23:00:00Z,Wind onshore,42.6875
HU,2022-01-09T00:00:00Z,Solar,0
HU,2022-01-09T00:00:00Z,Wind onshore,47.8475
HU,2022-01-09T01:00:00Z,Solar,0
HU,2022-01-09T01:00:00Z,Wind onshore,58.41
HU,2022-01-09T02:00:00Z,Solar,0
HU,2022-01-09T02:00:00Z,Wind onshore,66.2875
HU,2022-01-09T03:00:00Z,Solar,0
HU,2022-01-09T03:00:00Z,Wind onshore,73.095
