"","date","hour","actual","projected"
"58",2022-01-03,10,233.076,265.036
"59",2022-01-03,11,483.192,504.267
"60",2022-01-03,12,594.41,678.642
"61",2022-01-03,13,698.505,750.606
"62",2022-01-03,14,659.626,635.074
"63",2022-01-03,15,430.8,399.422
"64",2022-01-03,16,149.252,145.774
"65",2022-01-03,17,-2.546,-0.131
"66",2022-01-03,18,-13.014,-11.985
"67",2022-01-03,19,-14.128,-11.841
"68",2022-01-03,20,-11.333,-11.955
"69",2022-01-03,21,-13.621,-11.8
"70",2022-01-03,22,-11.511,-12.069
"71",2022-01-03,23,-14.166,-12.058
"72",2022-01-03,24,-13.51,-11.639
"73",2022-01-04,1,-12.823,-11.92
"74",2022-01-04,2,-12.044,-11.897
"75",2022-01-04,3,-13.772,-12.047
"76",2022-01-04,4,-11.873,-12.16
"77",2022-01-04,5,-12.966,-12.09
"78",2022-01-04,6,-13.361,-12.029
"79",2022-01-04,7,-12.25,-11.874
"80",2022-01-04,8,-5.206,-5.511
"81",2022-01-04,9,149.192,103.099
"82",2022-01-04,10,575.626,412.149
"83",2022-01-04,11,1087.358,738.125
"84",2022-01-04,12,1437.748,960.157
"85",2022-01-04,13,1390.794,974.907
"86",2022-01-04,14,1127.424,823.804
"87",2022-01-04,15,555.144,504.083
"88",2022-01-04,16,156.549,171.489
"89",2022-01-04,17,-7.554,0.041
"90",2022-01-04,18,-11.752,-10.673
"91",2022-01-04,19,-13.669,-10.646
"92",2022-01-04,20,-11.75,-11.6
"93",2022-01-04,21,-13.151,-11.524
"94",2022-01-04,22,-10.837,-11.602
"95",2022-01-04,23,-12.329,-11.62
"96",2022-01-04,24,-13.357,-11.278
"97",2022-01-05,1,-15.245,-11.982
"98",2022-01-05,2,-10.47,-12.259
"99",2022-01-05,3,-14.05,-12.235
"100",2022-01-05,4,-11.841,-12.726
"101",2022-01-05,5,-12.577,-12.987
"102",2022-01-05,6,-14.317,-12.806
"103",2022-01-05,7,-10.875,-12.837
"104",2022-01-05,8,-7.236,-3.858
"105",2022-01-05,9,100.653,127.243
"106",2022-01-05,10,306.549,443.766
"107",2022-01-05,11,616.075,796.46
"108",2022-01-05,12,928.727,1072.066
"109",2022-01-05,13,974.593,1075.103
"110",2022-01-05,14,852.246,911.625
"111",2022-01-05,15,521.265,552.801
"112",2022-01-05,16,185.804,196.966
"113",2022-01-05,17,3.217,4.961
"114",2022-01-05,18,-12.311,-12.408
"115",2022-01-05,19,-12.779,-12.499
"116",2022-01-05,20,-12.578,-12.587
"117",2022-01-05,21,-11.421,-12.556
"118",2022-01-05,22,-13.054,-12.649
"119",2022-01-05,23,-11.972,0.434
"120",2022-01-05,24,-12.396,-12.357
"121",2022-01-06,1,-13.985,-12.897
"122",2022-01-06,2,-11.989,-12.94
"123",2022-01-06,3,-12.175,-12.95
"124",2022-01-06,4,-13.525,-12.882
"125",2022-01-06,5,-11.84,-12.915
"126",2022-01-06,6,-11.571,-12.674
"127",2022-01-06,7,-15.511,-12.656
"128",2022-01-06,8,-6.865,-1.017
"129",2022-01-06,9,143.704,188.456
"130",2022-01-06,10,482.388,596.826
