date,hour,actual,projected
2025-05-02,11,10.045199,15.681
2025-05-02,12,9.541987,14.568
2025-05-02,13,3.95095,13.616
2025-05-02,14,-0.172173,11.329
2025-05-02,15,0.097133,11.513
2025-05-02,16,-0.14871,11.042
2025-05-02,17,1.85717,12.029
2025-05-02,18,7.390173,10.057
2025-05-02,19,4.874609,1.473
2025-05-02,20,2.757156,2.065
2025-05-02,21,5.51392,13.68
2025-05-02,22,14.987966,20.704
2025-05-02,23,24.391731,28.443
2025-05-02,24,27.216974,28.228
2025-05-03,1,26.875367,28.204
2025-05-03,2,27.171578,27.427
2025-05-03,3,27.698137,28.126
2025-05-03,4,27.335241,27.049
2025-05-03,5,27.482515,27.13
2025-05-03,6,27.140532,27.288
2025-05-03,7,27.469198,28.192
2025-05-03,8,15.879541,28.617
2025-05-03,9,14.896736,22.938
2025-05-03,10,24.389841,22.841
2025-05-03,11,19.843083,19.737
2025-05-03,12,19.506848,19.055
2025-05-03,13,14.445091,20.207
2025-05-03,14,15.882461,25.054
2025-05-03,15,22.459879,27.157
2025-05-03,16,25.250207,27.876
2025-05-03,17,27.31299,27.638
2025-05-03,18,32.353897,26.174
2025-05-03,19,36.796937,27.099
2025-05-03,20,38.884378,28.11
2025-05-03,21,39.696798,30.14
2025-05-03,22,37.969776,32.733
2025-05-03,23,35.275413,33.582
2025-05-03,24,32.71697,34.337
2025-05-04,1,26.251132,36.862
2025-05-04,2,16.806275,35.876
2025-05-04,3,23.546299,33.957
2025-05-04,4,32.986741,32.847
2025-05-04,5,35.565303,30.804
2025-05-04,6,39.342478,32.258
2025-05-04,7,37.921647,34.136
2025-05-04,8,25.687974,35.921
2025-05-04,9,26.13544,35.426
2025-05-04,10,28.224813,33.178
2025-05-04,11,24.320965,30.79
2025-05-04,12,20.589744,25.725
2025-05-04,13,20.531589,23.829
2025-05-04,14,23.40695,23.529
2025-05-04,15,26.133647,23.429
2025-05-04,16,19.57593,22.579
2025-05-04,17,16.625347,18.929
2025-05-04,18,16.381184,18.229
2025-05-04,19,16.680473,17.939
2025-05-04,20,15.469535,17.979
2025-05-04,21,15.939032,16.754
2025-05-04,22,15.413941,16.604
2025-05-04,23,15.996095,16.504
2025-05-04,24,17.795895,16.454
2025-05-05,1,19.650721,17.408
2025-05-05,2,22.314211,17.848
2025-05-05,3,21.330837,17.91
2025-05-05,4,16.832291,17.533
2025-05-05,5,19.365341,17.093
2025-05-05,6,17.668735,17.022
2025-05-05,7,14.220205,17.664
2025-05-05,8,11.723127,16.394
2025-05-05,9,12.970884,16.476
2025-05-05,10,16.099512,16.436
2025-05-05,11,16.109396,16.339
2025-05-05,12,15.398877,17.395
2025-05-05,13,15.142944,17.698
2025-05-05,14,12.878603,17.188
2025-05-05,15,10.747092,17.51
2025-05-05,16,10.395176,17.124
2025-05-05,17,12.816931,17.187
2025-05-05,18,12.816781,17.248
2025-05-05,19,15.194935,17.16
2025-05-05,20,11.260992,16.786
2025-05-05,21,13.611918,17.456
2025-05-05,22,11.783521,17.936
2025-05-05,23,7.463628,16.646
2025-05-05,24,9.693677,13.523
2025-05-06,1,6.958064,17.524
2025-05-06,2,4.285813,13.781
2025-05-06,3,1.909102,9.875
2025-05-06,4,2.484623,11.204
2025-05-06,5,3.250759,6.737
2025-05-06,6,2.803991,5.474
2025-05-06,7,5.888305,6.379
2025-05-06,8,5.149054,5.489
2025-05-06,9,5.815043,6.179
2025-05-06,10,4.467073,5.307
2025-05-06,11,3.144202,4.085
2025-05-06,12,3.66818,4.231
2025-05-06,13,3.113876,4.766
2025-05-06,14,2.797454,3.645
2025-05-06,15,3.928167,4.121
2025-05-06,16,4.248761,4.377
2025-05-06,17,4.851486,5.947
2025-05-06,18,7.282139,6.989
